# Arabic page name	Nama English name
# Generated by tools/release-notes/gen-doc-names.py -- do not hand-edit.
إعادة تقدير عمر الأصل وقيمة خردته	Re-estimating an Asset's Life and Salvage Value
إعادة تقييم الأصول	Revaluation
إعادة معالجة الكميات والتكاليف وأعمار المخزون (Reprocessing Quantity, Cost, and Stock Ages)	Reprocessing Quantity, Cost, and Stock Ages
إعداد اتصال Oracle JDBC في ملف context.xml لأغراض التكامل	ORACLE JDBC Integration Connection in context.xml for integration purposes
إعداد الرسائل القصيرة (SMS) و WhatsApp في نظام نما ERP	SMS and WhatsApp Configuration in Nama ERP
إعداد مركز الخدمة	Setting Up a Service Center
إعداد وحدة الذكاء الاصطناعي	AI Module Configuration
إعدادات Nama Properties	Nama Properties
إعدادات أعمار المخزون	Stock Ages Configuration
إعدادات ادارة المشاريع	Project Management Settings
إعدادات اقتراح الكميات (Quantity Suggestion Configuration)	Quantity Suggestion Configuration
إعدادات الأسعار والضرائب والخصومات (Pricing, Taxes & Discounts)	Pricing, Taxes & Discounts Configuration
إعدادات الأصناف والبيانات الرئيسية	Items & Master Data Configuration
إعدادات التأثيرات المحاسبية (Accounting Effects)	Accounting Effects Configuration
إعدادات التسعير وقوائم الأسعار	Pricing & Price Lists Configuration
إعدادات التكلفة (Costing Configuration)	Costing Configuration
إعدادات التوليد والمحددات (Generation & Dimensions)	Generation & Dimensions Configuration
إعدادات الجرد المخزني	Stock Taking Configuration
إعدادات الحسابات (كتالوج خيارات الوحدة)	Accounting Configuration (module option catalog)
إعدادات السحب على المكشوف والتأكد من الكميات	Overdraft & Quantity Checking Configuration
إعدادات الصنف الفرعي (Sub-Item)	Sub-Item Configuration
إعدادات المبيعات والعروض	Sales & Offers Configuration
إعدادات المستندات والتفاصيل	Documents & Details Configuration
إعدادات المشتريات	Purchasing Configuration
إعدادات المقاولات	Contracting Configuration
إعدادات النسخ من المستند (From-Document)	From-Document Configuration
إعدادات الوحدة	Module Configuration
إعدادات حالة السيارة	Car Status Configurations
إعدادات حجز المواعيد	Appointment Booking Settings
إعدادات خدمة العملاء	CRM Settings
إعدادات خصائص الصنف	Item Properties Configuration
إعدادات طوابير الخدمة	Queue Service Configurations
إعدادات عامة (General)	General Configuration
إعدادات متابعة الكميات (Quantity Tracking)	Quantity Tracking Configuration
إعدادات مركز الخدمة	Service Center Settings
إعدادات وحدة العقارات	Real Estate Module Configuration
إغلاق أمر الشغل	Closing a Job Order
إلغاء عقد دورة تدريبية	Cancelling a Course Contract
إنشاء جدول الإيجارات	Generating the Rent Schedule
إنشاء خطة الأقساط	Building the Installment Plan
إنشاء سجلات آليًا عند الحفظ	Creating Records Automatically While Saving
إنهاء الخدمة والتصفية	Firing & Termination
إيقاف الموظف عن العمل	Suspension
إيقاف واستكمال الخدمة	Suspending and Resuming Work
اختصارات لوحة المفاتيح	Keyboard Shortcuts
استبيانات خدمة العملاء (Questionair)	CRM Questionnaires
استعلامات الأدوات المساعدة للمخزون	Inventory Related Utility Queries
استعلامات عامة متعددة الأغراض (General Purpose Utility Queries)	General Purpose Utility Queries
استعلامات للكشف عن مشاكل التكلفة والكميات (وإصلاحها)	Queries to Check for (and Fix) Cost And Qty Problems
استكشاف أخطاء توقف النظام أو عدم استجابته (Troubleshooting System Hanging or Unresponsiveness)	Troubleshooting System Hanging or Unresponsiveness
استلام المخزون في المستودع (Receiving Stock)	Receiving Stock
استيراد الأصول باعتماد مستندي	Importing Assets on a Letter of Credit
استيراد البيانات من Excel أو الاستعلامات	Importing Data from Excel or Queries
استيراد السجلات	Importing Records
اعتماد الأصول	The Letter of Credit
اقتراح إنشاء Indexes لجداول التفاصيل الكبيرة	Suggest Indexes for Large Detail Tables
الأداء والبحث	Performance and Search
الأرشيفات والمجلدات والمواضيع	Archives, Folders and Topics
الأرصدة الافتتاحية للأصول المملوكة سلفاً	Opening Balances for Assets You Already Own
الأزرار الموجودة في كل شاشة	Buttons on Every Screen
الأسئلة الشائعة	FAQ
الأسعار والتكاليف والخصومات	Pricing, Costing & Discounts
الأصناف المجانية في نقاط البيع: المطالبة بالمسح والتسوية عند الدفع	Free Items in POS: Claim at Scan and Reconciliation at Payment
الأكياس البريدية (Receptacles)	Receptacles
الأمان وتسجيل الدخول	Security and Login
الأيقونات والألوان	Icons and Colours
الإبلاغ عن حركات الأدوية للهيئة السعودية للغذاء والدواء	Reporting Medicine Movements to the SFDA
الإشعارات والمراسلات	Notifications and Messaging
الإصلاح الخارجي	External Repair
الإضافة والإستبعاد	Additions and Deductions
الإعدادات والتكامل	Settings and Integration
الإعفاءات ورد المبالغ للمشتري	Exemptions and Returning Money to the Buyer
الإقفال السنوي والتحكم في الفترات	Year-End Closing & Period Control
الاتصالات (CRM Call)	Calls
الاجراءات	Procedures
الاستئذانات والمأموريات (Leave Permissions & Missions)	Leave Permissions & Missions
الاستلام: السند المبدئي ومستند الاستلام	Taking Delivery: Initial Receipt and Receipt Document
الاستيراد المتقدم للسجلات	Advanced Record Import
الاعتمادات المستندية البنكية	Bank Letters of Credit
الاعتمادات المستندية للاستيراد (Letters of Credit)	Import Letters of Credit
الالتزامات المالية	Financial Commitments
البدء السريع مع خدمة العملاء	CRM Getting Started
البدء والتأسيس	Getting Started
البداية على الماكينة	Getting Started at the Register
البرامج السياحية	Tour Programs
البلاغات والطلبات	Notices and Requests
البنود القياسية	Standard Terms
البنوك والحسابات البنكية والتحويلات	Banks, Bank Accounts & Transfers
البيانات البنكية في الفاتورة الإلكترونية المصرية	Bank Details on Egyptian e-Invoices
البيع للعميل	Selling to the Client
التأشيرات (HR Visas)	HR Visas
التأمين الصحي للموظف (Employee Health Insurance)	Employee Health Insurance
التأمين الطبي والموافقات	Medical Insurance & Approvals
التأمينات الاجتماعية والكفالة	Social Insurance & Sponsorship
التجميع والتعبئة (Assembly & Packaging)	Assembly & Packaging
التحرير المتعدد	Bulk Edit
التحقق المبني على المعايير (Criteria Based Validation)	Criteria Based Validation
التحكم في إقفال الفترات المحاسبية (Fiscal Period Control)	Fiscal Period Control
التخلص الجزئي من أصل	Partial Disposal
التخلص من الأصل	Disposing of an Asset
التخلص من العهدة	Disposing of a Custody Item
التخلص من عدة أصول دفعة واحدة	Disposing of Many Assets at Once
الترقيم التلقائي للملفات	Automatic Coding of Master Files
التسعير والعروض والكوبونات (Pricing, Offers & Coupons)	Pricing, Offers & Coupons
التسكين والتغذية	Accommodation & Feeding
التسليم عبر تطبيق المندوب	Delivering with the Driver App
التسليم والتحميل (Delivery & Loading)	Delivery & Loading
التسهيلات الائتمانية وحدود التسهيلات	Credit Facilities & Facility Limits
التسوية مع الذمم	Subsidiary Reconciliation
التعامل مع الفاتورة الإلكترونية في وحدة الشحن	E-Invoicing in the Freight Module
التعامل مع عدة سجلات دفعة واحدة	Acting on Several Records at Once
التقارير والأدوات	Reports & Tools
التقارير والطباعة	Reports and Printing
التقارير والنماذج المطبوعة لخدمة العملاء	CRM Reports and Printed Forms
التقارير ونماذج الطباعة	Reports and Print Forms
التكامل مع «فوترة» الأردنية (JoFotara)	Integration with JoFotara (Jordan)
التكامل مع الأنظمة الخارجية والروابط العامة	Integrators and Public Links
التنازل وفسخ عقد البيع	Waivers and Cancelling a Sale
التنبؤ بالمشتريات (Purchase Forecast)	Purchase Forecast
التوزيع اليومي للفنيين	Daily Dispatch
الجرد المخزني (Stock Taking)	Stock Taking
الجزاءات الحكومية	Government Penalties
الحافلات والوجبات والرحلات المدرسية	Buses, Meals and School Trips
الحجز والفوترة والإلغاء	Booking, Invoicing and Cancelling
الحجز ونظام التسليم (Reservation & Delivery System)	Reservation & Delivery System
الحجوزات وعقود البيع المبدئية	Reservations and Initial Sales Contracts
الحد الأدنى لمتطلبات تشغيل النظام	System Minimum Requirements
الحسابات	Accounts
الحضور والانصراف (Time Attendance)	Time Attendance
الحضور والمتابعة اليومية وأذون الانصراف	Attendance, Daily Monitoring and Leave
الحقول المحسوبة وتلوين الصفوف	Calculated Fields and Row Colouring
الحملات (CRM Campaign)	Campaigns
الخدمات والإجراءات الفنية	Services and Procedures
الخدمات ومجموعات العمليات	Services and Operation Groups
الخدمة الذاتية للموظفين — الحضور والإجازات	Employee Self-Service — Attendance & Leaves
الخصومات	Discounts
الدفع والتحصيل	Payment & Tender
الدفعات المقدمة من العميل	Project Advance Payments
الدفعات والأقساط وشروط التعاقد	Payments, Instalments & Contract Terms
الدورات وخطط التدريب	Training Courses & Plans
الربط مع الفاتورة الإلكترونية في الإمارات عبر Orchida osTax	UAE E-Invoicing Integration via Orchida osTax
الربط مع ماكينات الحضور والانصراف	Integration with Attendance Machines
الربط مع هيئة الزكاة والضريبة والجمارك بالسعودية (ZATCA Fatoora)	Integration with ZATCA (Saudi Arabia – Fatoora)
الرحلات السياحية	Tours
الرحلات وخطوط السير والمحطات	Trips, Routes and Stations
الزيادات السنوية (Annual Increases)	Annual Increases
الزيارات (CRM Visit)	Visits
السماح للأصناف ذات الدفعات وتواريخ الصلاحية بحمل كميات غير موسومة (Allowing Items With Batch & Expiry to Hold Untagged Quantities)	Allowing Items With Batch & Expiry to Hold Untagged Quantities
الشحن والجمارك والتكلفة النهائية	Freight, Customs and Landed Cost
الشراء من الموردين	Buying from Suppliers
الشركات المنافسة	Competitors
الشروط التعاقدية	Contract Conditions
الشكاوى	Complaints
الشيكات والأوراق المالية (دورة الحياة)	Cheques & Financial Papers (Lifecycle)
الصلاحيات الإضافية المؤقتة (التفويض)	Temporary Additional Permissions (Delegation)
الصلاحيات على مستوى السجلات (المحددات والفلاتر)	Record-Level Security (Dimensions and Filters)
الصيانة	Maintenance
الضرائب على المستخلصات	Taxes on Extracts
الضرائب والفاتورة الإلكترونية	Taxes and e-Invoice
الضمانات	Warranties
الطاولات والحجوزات وكابتن أوردر	Tables, Reservations & Captain Order
الطلاب وأولياء الأمور والهيكل الدراسي	Students, Guardians and the Academic Structure
الطلبات والنتائج الإكلينيكية	Clinical Orders & Results
العروض	Offers
العملاء والمبيعات	Customers and Sales
العمليات المخزنية على الماكينة	Inventory Operations at the Register
العهد — الأشياء التي تسلّمها لموظفيك	Custody — Items Handed to Staff
الفاتورة الإلكترونية في نما ERP	Electronic Invoicing in Nama ERP
الفاتورة المبدئية	The Proforma Invoice
الفترات المالية وإقفال الفترات وتعدّد العملات	Fiscal Periods, Period Locking & Multi-Currency
الفرص	Potentials
الفلاتر السريعة في قوائم المستندات (Quick Filters in List Views)	Quick Filters in List Views
الفواتير والمحاسبة	Invoicing & Billing
الفواتير والمرتجعات	Invoices & Returns
القروض البنكية	Bank Loans
القوائم المالية	Financial Statements
الكيانات الافتراضية (Virtual Entities) — وحدات SQL قابلة لإعادة الاستخدام في التقارير ولوحات المعلومات	Virtual Entities — Reusable SQL Building Blocks for Reports & Dashboards
الماركات والموديلات وتصنيفاتها	Brands, Models and Model Categories
المباني والطوابق والغرف	Buildings, Floors and Rooms
المباني والطوابق والوحدات	Buildings, Floors and Rental Units
المبيعات والمخازن والاستعلام عن الأصناف	Sales, Inventory & Item Inquiry
المجموعات (Master Groups)	Master Groups
المحاسبة والمالية	Accounting and Finance
المحافظ الاستثمارية	Investment Portfolios
المحددات	Dimensions
المحدِّدات ومراكز التكلفة والتوزيع	Dimensions, Cost Centers & Distribution
المخازن والمواقع التخزينية (Warehouses & Locators)	Warehouses & Locators
المراجعة وإلغاء المراجعة	Revise and Unrevise
المراحل ومصفوفة المراحل والتخصصات	Milestones and the Phase–Discipline Matrix
المراحل ومناطق العمل	Phases and Work Areas
المرتجعات والإحلال	Returns & Replacements
المرضى والدخول	Patients & Admission
المرفقات (Attachments)	Attachments
المرفقات والتخزين	Attachments and Storage
المساعد الذكي داخل النظام	The In-System AI Assistant
المستخدمون وتسجيل الدخول	Users and Login
المستندات الأرشيفية	Archived Documents
المستندات الدورية	Recurring Documents
المستندات والدفاتر	Documents and Books
المشاريع والمربعات والبلوكات وقطع الأراضي	Projects, Squares, Blocks and Land Plots
المشتريات المتنوعة وتشغيل المعدات	Misc Purchasing & Machine Rent
المشروع الإداري	The Managed Project
المشروعات والتحليل وطلبات التطوير	Projects, Analysis and Development Requests
المصروفات المقدمة	Prepaid Expenses
المطابقة البنكية	Bank Reconciliation
المظهر	Appearance
المفاهيم الأساسية والإعداد المبدئي للحسابات	Accounting Concepts & First-Time Setup
المقاولون والاستشاريون	Contractors and Consultants
المقايسات	Job Estimations
المكافآت والجزاءات	Rewards & Penalties
المكونات وأنواع المكونات	Components and Component Types
الملاك والمشترون وبنود التعاقد القياسية	Owners, Buyers and Standard Contract Clauses
الملحوظات والأجندة ومهام العمل	Remarks, Agenda and Work Tasks
الملفات الأساسية لإدارة الشحن	Freight Master Files
الملفات الرئيسية للسفر والرحلات	Travel Master Files
الملفات الطبية الأساسية	Medical Master Files
المهام المجدولة (Task Scheduler)	Scheduled Tasks (Task Scheduler)
المهام المعلقة (Pending Tasks)	Pending Tasks
المهام وسندات المتابعة	Tasks and Follow-Ups
المواد البريدية	Mail Items
الموازنات المالية	Financial Budgets
الموازنة التقديرية	Estimated Budgets
الموازنة التنفيذية	Executive Budgets
الموافقات والمراجعة	Approvals and Revise
الموافقة على أوقات التنفيذ	Approving Worked Hours
الموافقة على إخلاء الطرف (Evacuation Approval)	Evacuation Approval
الموعد الفني	The Technician Appointment
النقل بين الشركات	Transfers Between Companies
الودائع الثابتة	Fixed Deposits
الورديات والنقدية	Shifts & Cash
الوسطاء والوكلاء	Mediators and Agents
الوظائف الشاغرة والمرشحون (Vacancies & Candidates)	Vacancies & Candidates
بدء التشغيل: الأرصدة الافتتاحية في العقارات	Going Live: Opening Balances in Real Estate
بدء العمل	Work Starting
بطاقة الأصل الثابت	The Fixed Asset Record
بوالص الشحن (Bills of Lading)	Bills of Lading
تأجير الأصول	Renting Out Assets
تأمين السيارات مع البيع	Selling Insurance with a Car
تجاهل سطور الحضور والانصراف المتقاطعة	Ignoring Overlapping Attendance and Departure Lines
تجاهل مخازن/مواقع معينة في التحقق من كمية الحجز بالتاريخ	Ignoring Specific Warehouses/Locators in Reservation Quantity Check by Date
تجديد الإقامة (Residence Renewal)	Residence Renewal
تجميد إهلاك أصل	Freezing an Asset's Depreciation
تجميع السيارة من الهيكل والمحرك	Assembling a Vehicle from a Chassis and an Engine
تحديث بيانات الآلات ونقل الملكية والمعاينات	Machine Updates, Transfers and Site Previews
تحريك المخزون بين المخازن (Moving Stock)	Moving Stock Between Warehouses
تحميل أرشيف من ملف مضغوط	Loading an Archive from a ZIP File
تحويل الملكية بين الملاك	Transferring Ownership Between Owners
تحويل خيط البيع	Converting a Lead
تخصيص السيارة	Allocating a Chassis
تخطيط خامات الكرتون (Carton Material Planning): محرك التحسين	Carton Material Planning: The Optimization Engine
تخطيط متطلبات المواد (Material Requirements Planning - MRP) - دليل المستخدم	Material Requirements Planning (MRP) - User Guide
ترحيل التكلفة إلى الوحدات العقارية	Pushing Cost onto Real Estate Units
تسجيل أوقات تنفيذ المهام	Recording Worked Hours
تسجيل الدخول بالبصمة في نقاط البيع	Fingerprint Login in Point of Sale
تسكين الموظفين والمعدات وتكاليفهم	Employees, Equipment and Their Costs
تسليم السيارة نهائياً	Handing the Car Over
تسليم العهد ونقلها	Delivering and Transferring Custody
تسليم الوحدة	Handing the Unit Over
تسويات السلف	Loan Adjustments
تسوية أعمار الديون (Aging Allocation)	Aging Allocation
تشريح ملف التصدير	Anatomy of the Export File
تصدير السجلات	Exporting Records
تصريح عبور البوابة	Gate Pass
تصفية المستحقات (Dues Liquidation)	Dues Liquidation
تصنيع الكرتون: تخطيط ذكي للمواد في منتجات الورق المموج	Carton Manufacturing: Smart Material Planning for Corrugated Products
تصنيفات الآلات	Machine Classifications
تصنيفات الأصول الثابتة	Classifications
تطبيق attcron لسحب بيانات الحضور (The attcron Attendance Agent)	The attcron Attendance Agent
تطبيق نما للهواتف المحمولة — نظرة عامة والتنقل والإعدادات	Nama Mobile App — Overview, Navigation & Settings
تعديل الترجمات في نظام نما	Modifying Translations in Nama ERP
تعديل الشاشات — أسئلة شائعة	Screen Modifier — Frequently Asked Questions
تعديل الشاشات — المحرر المرئي للتخطيط	Screen Modifier — Visual Layout Editor
تعديل الشاشات — تعديلات شاشة التعديل	Screen Modifier — Edit-Screen Modifications
تعديل الشاشات — قائمة العرض ونافذة الاختيار	Screen Modifier — List View & Selector Pop-up
تعديل الشاشات — نظرة عامة والمفاهيم	Screen Modifier — Overview & Concepts
تعديل عقد المشروع	Project Contract Updates
تعديل عقد مقاول الباطن	Subcontract Updates
تعريفات أدوات الذكاء الاصطناعي (AI Tool Definitions)	AI Tool Definitions
تعريفات الدورات والمواد الدراسية	Course Definitions and Courses
تعويض ونقل الأجازات	Vacation Compensation & Transfer
تغيير القائمة	Changing the Menu
تغيير حالة الموظف	Change Employee State
تفقيط العملات	Currencies Tafqeet
تقارير ادارة المشاريع	Project Management Reports
تقارير الأصول الثابتة	Fixed Assets Reports
تقويم الحجز	The Booking Calendar
تقويم الموارد البشرية والعطلات وأيام الراحة الأسبوعية	HR Calendar, Holidays & Weekends
تقييم الجهات	Party Evaluation
تقييم الدورة التدريبية (Course Evaluation)	Course Evaluation
تقييم الموظف (Employee Evaluation)	Employee Evaluation
تكاليف الإنتاج: تتبع الأموال	Production Costing: Following the Money
تكامل المدفوعات الإلكترونية (Online Payments Integration)	Online Payments Integration
تكلفة المخزون وإعادة التقييم (Inventory Costing & Revaluation)	Inventory Costing & Revaluation
تمديد عقد الإيجار وإنهاؤه	Renewing and Ending a Lease
تمديد مراحل المشروع	Stage Extensions
تنزيل نقاط البيع على ماكينة جديدة وربطها بالخادم الرئيسي	Installing Nama POS on a New Register and Connecting It to the Server
تنسيقات التقارير (Report Styles)	Report Styles
تنفيذ أمر الشغل	Job Order Execution
تنفيذ أوامر الصيانة	Order Executions
تنفيذ الإنتاج (Production Execution): تسجيل ما يحدث فعلاً	Production Execution: Recording What Actually Happens
تنفيذات طلب الدعم	Ticket Executions
توثيق خاصية الشروط والأحكام القياسية (Standard Terms and Conditions Feature Documentation)	Standard Terms and Conditions Feature Documentation
توجيه المستخلصات	Extract Document Terms
توجيه مستندات الخامات والدفعات	Material and Payment Document Terms
توجيه مستندات المقاولات الأخرى	Other Contracting Document Terms
توجيهات اقتناء الأصول	Terms for Acquiring Assets
توجيهات الإهلاك وتغيّر القيمة والتخلص	Terms for Depreciation, Value Changes and Disposal
توجيهات العهد وإعتمادات الأصول	Terms for Custody and Letters of Credit
توجيهات المستندات (قواعد المعالجة لكل نوع)	Document Terms (per-type processing rules)
توجيهات المستندات في مركز الخدمة	Document Terms in Service Center
توجيهات مستندات الإيجار	Rent Document Terms
توجيهات مستندات البيع	Sales Document Terms
توجيهات مستندات التحصيل والصيانة والاستثمار والتكاليف	Collection, Maintenance, Investment and Cost Document Terms
توجيهات مستندات التعليم	Education Document Terms
توجيهات مستندات السفر والرحلات	Travel Document Terms
توجيهات مستندات السيارات والتأمين والتأجير	Car, Insurance and Rental Document Terms
توجيهات مستندات الصيانة	Maintenance Document Terms
توجيهات مستندات المشاريع	Document Terms for Project Documents
توجيهات مستندات الورشة	Workshop Document Terms
توريد السيارات	Receiving Cars into the Showroom
توريد المحصل للبنك أو للمالك	Paying Collected Money to the Bank or the Owner
توزيع القيمة على الجهات الدافعة	Who Pays for What
توزيع تكاليف المشروع على العقارات	Distributing Project Costs Over Properties
جداول الأقساط والتحصيل	Payment Schedules and Collection
جدول التحميل	Publishing Daily Capacity
جرد الأصول الثابتة	Stocktaking Fixed Assets
حالات الأصل	Asset Statuses
حالات الأوامر والزيارات	Order and Visit Statuses
حجب الرواتب والصرف الجزئي (Salary Blocking & Partial Payment)	Salary Blocking & Partial Payment
حصر تكاليف المقاولات	Cost Execution
حصر كميات المشروع	Project Execution
حصر كميات الموازنة	Budget Execution
حصر كميات مقاول الباطن	Subcontractor Execution
حقول المراجع والبحث فيها	Reference Fields and Lookups
خادم MCP لنظام نما ERP	Nama ERP MCP Server
خدمات أم آلات؟	Services or Machines?
خدمات الموظفين (السيارات والنقل والوجبات)	Employee Services (Vehicles, Transport & Meals)
خدمة التوصيل (Delivery)	Delivery Service
خدمة العملاء والتوصيل والقبض	Customer Service, Delivery & Receipts
خروج الأصول من المنشأة ورجوعها	Sending Assets Out and Bringing Them Back
خطابات الضمان	Letters of Guarantee
خطابات المرور	Traffic Letters
خطط الأهداف — هدف تشغيل (Operation goal)	Target Plans
خطط التسويق (MarketingPlan)	Marketing Plans
خطط الدوام والورديات (Attendance Plans & Shifts)	Attendance Plans & Shifts
خطط الصيانة	Maintenance Plans
خطط العمل (CRM Work Plan)	Work Plans
خطط الفحص والاختبار	Inspection and Test Plans
خطط عمل الصيانة	Maintenance Work Plans
خيارات خاصة بأنواع المستندات (Document-Specific)	Document-Specific Options
خيوط البيع	Leads
دفاتر المستندات (Document Books)	Document Books
دفعات مقاول الباطن	Subcontractor Advances and Other Payments
دليل Jasper Reports الشامل لنظام Nama ERP	Jasper Reports Complete Guide for Nama ERP
دليل Mobile QR Integrator	Mobile QR Integrator Guide
دليل أداة إنشاء التقارير (Report Wizard)	Report Wizard Guide
دليل إدارة الأسعار والعروض (Pricing and Offers Management Guide)	Pricing and Offers Management Guide
دليل استعمال النقاط الفنية في نقاط البيع	Nama POS — Technical Points of Use Guide
دليل التكامل مع Omniful	Omniful Integration Guide
دليل المستخدم لجداول الدفع (Payment Schedules)	Payment Schedules User Guide
دليل المصادقة الثنائية (2FA)	Two-Factor Authentication (2FA) Guide
دليل تثبيت Nama ERP	Nama ERP Installation Guide
دليل تكامل التجارة الإلكترونية مع Nama ERP	Nama ERP E-Commerce Integration Guide
دليل لغة Tempo	Tempo Language Manual
دليل نظام الحجوزات الشامل (Comprehensive Reservation System Guide)	Comprehensive Reservation System Guide
دليل نظام الخصومات وحساب الضرائب على الفواتير - دليل شامل	Invoice Discounts and Tax Calculation System - Comprehensive Guide
دورة التأجير	The Leasing Cycle
دورة بيع السيارة	The Car Sales Cycle
دورة بيع العقار	The Property Sales Cycle
دورة حياة وثيقة التأمين	Moving a Policy Through Its Cycle
دورة مقاول الباطن	The Subcontractor Cycle
دورة مقاولة المشروع	The Project Contracting Cycle
ربط سندات الدفع بالفواتير	Linking Payment Vouchers to Invoices
رحلة الشراء (The Purchasing Journey)	The Purchasing Journey
رحلة المبيعات (The Sales Journey)	The Sales Journey
رصد الدرجات	Recording Marks
رفع القيود المدمجة	Lifting Built-in Restrictions
روابط الأدوات المساعدة (Utility Links)	Utility Links
زيارات الصيانة	Maintenance Visits
سجل التعديل وتاريخ النسخ (Audit Trail and Version History)	Audit Trail and Version History
سجل العهدة	The Custody Record
سجل مخاطر خدمة العملاء	CRM Risk Register
سجلات الخدمة	Service Records
سجلات الصيانة وطلباتها	Maintenance Records and Requests
سلوك السجلات وكتل الشاشة	Record Behaviour and Screen Blocks
سند إنشاء أصول	The Fixed Asset Creation Document
سند استلام وتسليم عهد	Custodies Delivery Receipt Document
سند الإهلاك	The Depreciation Document
سند الإهلاك المجمع	The Aggregated Depreciation Document
سند تكليف الاعتماد	The Cost Document
سند توريد مخزني للجزء غير المنفّذ من أمر الشراء (Stock Receipts for the Unsatisfied Part of a Purchase Order)	Stock Receipts for the Unsatisfied Part of a Purchase Order
سند توزيع الخدمات	Service Distribution
سند شراء أصل ثابت	The Fixed Asset Purchase Document
سندات التحصيل والتحصيل المجمع	Collect Documents and Bulk Collection
سندات الفحص والاستلام	Reception Inspection Sheets
سندات القبض والصرف	Receipt & Payment Vouchers
سندات القيد والتسويات	Journal Entries & Adjustments
سندات نقل الفنيين	Technician Transfers
سنوات وفترات الموارد البشرية وإصدار الرواتب	HR Years, Periods & Salary Issuance
سيناريوهات الربط بين نظام نما والأنظمة الأخرى	Integration Scenarios Between Nama and Other Systems
سيناريوهات متخصصة (Specialized Scenarios)	Specialized Scenarios
شاشات الكيانات	Entities Screens
شجرة الحسابات	Chart of Accounts
شراء العهد	Buying Custody Items
شركات التقسيط وبرامج التقسيط	Finance Companies and Instalment Programmes
صرف الخامات للمشروع	Issuing Material to a Project
